trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2659,False,"{'a': 0.1, 'e': 0.06992511557881304}",20,10,19.472217256505466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2660,False,"{'a': 0.1, 'e': 0.06985519046323423}",20,10,18.7921216850989,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2661,False,"{'a': 0.1, 'e': 0.06978533527277099}",25,6,-54.967092742446106,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
2662,False,"{'a': 0.1, 'e': 0.06971554993749822}",25,11,7.3557319860747175,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2663,False,"{'a': 0.1, 'e': 0.06964583438756072}",25,3,31.347373548038863,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
2664,False,"{'a': 0.1, 'e': 0.06957618855317316}",20,13,8.540751268260767,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2665,False,"{'a': 0.1, 'e': 0.06950661236461998}",20,12,7.713642596001631,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2666,False,"{'a': 0.1, 'e': 0.06943710575225537}",20,14,10.813373016823673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2667,False,"{'a': 0.1, 'e': 0.06936766864650311}",20,11,-34.36392809350607,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
2668,False,"{'a': 0.1, 'e': 0.06929830097785661}",20,0,29.860480078583084,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2669,False,"{'a': 0.1, 'e': 0.06922900267687875}",30,19,12.750234915493051,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2670,False,"{'a': 0.1, 'e': 0.06915977367420187}",25,14,5.90095563304288,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2671,False,"{'a': 0.1, 'e': 0.06909061390052766}",30,19,20.453158696008312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2672,False,"{'a': 0.1, 'e': 0.06902152328662714}",20,12,14.900009836037642,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2673,False,"{'a': 0.1, 'e': 0.06895250176334052}",20,10,16.908226168912744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2674,False,"{'a': 0.1, 'e': 0.06888354926157718}",20,14,11.004129898039285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2675,False,"{'a': 0.1, 'e': 0.0688146657123156}",30,22,13.905033208415768,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2676,False,"{'a': 0.1, 'e': 0.06874585104660329}",25,6,20.170324939763855,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2677,False,"{'a': 0.1, 'e': 0.06867710519555668}",30,20,18.129808346440022,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2678,False,"{'a': 0.1, 'e': 0.06860842809036113}",20,9,20.658804488507396,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2679,False,"{'a': 0.1, 'e': 0.06853981966227077}",30,8,42.922083242430205,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2680,False,"{'a': 0.1, 'e': 0.06847127984260849}",30,23,12.569741646417047,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2681,False,"{'a': 0.1, 'e': 0.06840280856276588}",35,24,-2.064459240043724,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2682,False,"{'a': 0.1, 'e': 0.06833440575420312}",20,1,32.59220505175716,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2683,False,"{'a': 0.1, 'e': 0.06826607134844892}",30,12,24.270066935653634,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
2684,False,"{'a': 0.1, 'e': 0.06819780527710047}",25,5,32.78236510709991,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2685,False,"{'a': 0.1, 'e': 0.06812960747182337}",20,10,9.185212594913367,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2686,False,"{'a': 0.1, 'e': 0.06806147786435154}",25,15,20.210348047766757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2687,False,"{'a': 0.1, 'e': 0.06799341638648719}",25,10,14.83822527029185,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2688,False,"{'a': 0.1, 'e': 0.06792542297010071}",20,9,22.57194620402359,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2689,False,"{'a': 0.1, 'e': 0.06785749754713061}",20,12,-9.452684270096341,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
2690,False,"{'a': 0.1, 'e': 0.06778964004958347}",25,13,20.817573979141052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2691,False,"{'a': 0.1, 'e': 0.06772185040953389}",20,12,18.465658530147326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2692,False,"{'a': 0.1, 'e': 0.06765412855912437}",25,17,17.67346653001032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2693,False,"{'a': 0.1, 'e': 0.06758647443056524}",20,15,12.143338978721268,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2694,False,"{'a': 0.1, 'e': 0.06751888795613468}",20,12,5.178198927657226,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2695,False,"{'a': 0.1, 'e': 0.06745136906817856}",35,24,17.463128360356738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2696,False,"{'a': 0.1, 'e': 0.06738391769911038}",20,8,-19.606071261829207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2697,False,"{'a': 0.1, 'e': 0.06731653378141127}",20,11,15.015164456936363,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2698,False,"{'a': 0.1, 'e': 0.06724921724762986}",25,16,16.348212828292905,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2699,False,"{'a': 0.1, 'e': 0.06718196803038223}",20,12,14.494308479192746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2700,False,"{'a': 0.1, 'e': 0.06711478606235186}",25,3,-8.48963859243494,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
2701,False,"{'a': 0.1, 'e': 0.06704767127628951}",25,13,21.816739724080808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2702,False,"{'a': 0.1, 'e': 0.06698062360501322}",20,10,18.188582003087134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2703,False,"{'a': 0.1, 'e': 0.06691364298140821}",30,16,26.44128249254081,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2704,False,"{'a': 0.1, 'e': 0.06684672933842681}",25,15,18.42893620065302,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2705,False,"{'a': 0.1, 'e': 0.06677988260908838}",25,20,8.865944611853811,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2706,False,"{'a': 0.1, 'e': 0.06671310272647929}",25,9,20.03430631474295,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
2707,False,"{'a': 0.1, 'e': 0.06664638962375281}",25,13,14.331660307941855,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2708,False,"{'a': 0.1, 'e': 0.06657974323412906}",30,15,-9.252380532120217,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
2709,False,"{'a': 0.1, 'e': 0.06651316349089494}",20,13,12.076186103772281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2710,False,"{'a': 0.1, 'e': 0.06644665032740404}",20,14,10.607517572191012,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2711,False,"{'a': 0.1, 'e': 0.06638020367707664}",25,12,23.47396999247003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2712,False,"{'a': 0.1, 'e': 0.06631382347339956}",35,16,25.956305576249434,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2713,False,"{'a': 0.1, 'e': 0.06624750964992616}",25,15,17.52516557667255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2714,False,"{'a': 0.1, 'e': 0.06618126214027624}",25,16,19.031761216751327,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2715,False,"{'a': 0.1, 'e': 0.06611508087813596}",25,12,27.526556977147994,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2716,False,"{'a': 0.1, 'e': 0.06604896579725783}",30,20,20.325189871402987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2717,False,"{'a': 0.1, 'e': 0.06598291683146057}",25,9,27.151584000762007,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2718,False,"{'a': 0.1, 'e': 0.0659169339146291}",20,9,23.004495780517598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2719,False,"{'a': 0.1, 'e': 0.06585101698071448}",20,15,0.5494068303002149,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
2720,False,"{'a': 0.1, 'e': 0.06578516596373377}",20,10,-23.27733800547482,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2721,False,"{'a': 0.1, 'e': 0.06571938079777004}",25,11,25.733988772723556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2722,False,"{'a': 0.1, 'e': 0.06565366141697226}",25,20,9.327888417440032,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2723,False,"{'a': 0.1, 'e': 0.06558800775555529}",25,10,27.123546526033312,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2724,False,"{'a': 0.1, 'e': 0.06552241974779974}",30,10,28.162322616606282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2725,False,"{'a': 0.1, 'e': 0.06545689732805193}",20,11,5.76491225011436,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2726,False,"{'a': 0.1, 'e': 0.06539144043072388}",20,6,-30.044261443786922,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
2727,False,"{'a': 0.1, 'e': 0.06532604899029316}",20,10,7.177180654245895,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2728,False,"{'a': 0.1, 'e': 0.06526072294130288}",25,4,30.135160518927538,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
2729,False,"{'a': 0.1, 'e': 0.06519546221836157}",20,13,1.2364826505530642,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2730,False,"{'a': 0.1, 'e': 0.06513026675614321}",35,21,29.295221473089278,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2731,False,"{'a': 0.1, 'e': 0.06506513648938707}",20,14,11.508484703429103,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2732,False,"{'a': 0.1, 'e': 0.06500007135289768}",30,16,25.745283684099807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2733,False,"{'a': 0.1, 'e': 0.06493507128154478}",20,11,15.805802680178338,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2734,False,"{'a': 0.1, 'e': 0.06487013621026325}",20,8,21.161952305626055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2735,False,"{'a': 0.1, 'e': 0.06480526607405299}",20,0,27.318469185026988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2736,False,"{'a': 0.1, 'e': 0.06474046080797893}",25,12,9.051390250349963,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2737,False,"{'a': 0.1, 'e': 0.06467572034717095}",25,16,14.955320926893053,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2738,False,"{'a': 0.1, 'e': 0.06461104462682378}",20,9,21.041500332424274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2739,False,"{'a': 0.1, 'e': 0.06454643358219696}",25,14,18.46386621434028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2740,False,"{'a': 0.1, 'e': 0.06448188714861476}",25,0,17.366064891825275,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
2741,False,"{'a': 0.1, 'e': 0.06441740526146615}",25,11,15.720974925674119,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2742,False,"{'a': 0.1, 'e': 0.06435298785620469}",20,4,20.668702132130807,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
2743,False,"{'a': 0.1, 'e': 0.06428863486834849}",20,6,26.32699864692215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2744,False,"{'a': 0.1, 'e': 0.06422434623348014}",20,16,8.196191696123748,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2745,False,"{'a': 0.1, 'e': 0.06416012188724667}",20,16,9.028273112887547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2746,False,"{'a': 0.1, 'e': 0.06409596176535942}",25,3,36.97130713721435,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2747,False,"{'a': 0.1, 'e': 0.06403186580359406}",25,8,21.916848459610453,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2748,False,"{'a': 0.1, 'e': 0.06396783393779047}",35,26,17.222389029606937,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2749,False,"{'a': 0.1, 'e': 0.06390386610385268}",25,19,11.560038059970694,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2750,False,"{'a': 0.1, 'e': 0.06383996223774882}",20,3,28.58270307618487,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2751,False,"{'a': 0.1, 'e': 0.06377612227551108}",20,16,8.25187998752471,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2752,False,"{'a': 0.1, 'e': 0.06371234615323557}",20,16,8.209289520901917,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2753,False,"{'a': 0.1, 'e': 0.06364863380708233}",20,16,6.729083766505871,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2754,False,"{'a': 0.1, 'e': 0.06358498517327525}",20,13,13.066932420906236,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2755,False,"{'a': 0.1, 'e': 0.06352140018810197}",25,17,16.337379931168332,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2756,False,"{'a': 0.1, 'e': 0.06345787878791387}",20,14,0.6314223476860485,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
